Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,684,773,679,401,845,75
4/10/2022,>25,Male,738,198,412,400,492,646
4/10/2022,15-25,Female,240,940,800,880,876,58
4/10/2022,>25,Female,355,452,62,384,248,867
5/10/2022,15-25,Male,880,568,170,191,548,519
5/10/2022,>25,Male,854,4,667,933,418,162
5/10/2022,15-25,Female,868,376,877,686,630,122
5/10/2022,>25,Female,835,589,42,920,274,697
6/10/2022,15-25,Male,557,113,365,837,184,880
6/10/2022,>25,Male,942,451,931,270,559,266
6/10/2022,15-25,Female,164,465,328,372,217,141
6/10/2022,>25,Female,304,181,212,83,281,488
7/10/2022,15-25,Male,545,785,477,234,829,676
7/10/2022,>25,Male,197,775,299,864,833,299
7/10/2022,15-25,Female,36,618,508,477,356,241
7/10/2022,>25,Female,485,64,923,201,449,701
8/10/2022,15-25,Male,954,544,573,136,246,219
8/10/2022,>25,Male,134,872,787,116,239,671
8/10/2022,15-25,Female,973,222,373,91,262,220
8/10/2022,>25,Female,508,40,589,384,869,736
9/10/2022,15-25,Male,137,59,538,354,929,762
9/10/2022,>25,Male,847,496,294,978,431,771
9/10/2022,15-25,Female,616,217,266,880,246,906
9/10/2022,>25,Female,133,635,335,560,97,265
10/10/2022,15-25,Male,282,852,173,116,479,620
10/10/2022,>25,Male,236,375,417,486,803,682
10/10/2022,15-25,Female,119,692,450,317,999,882
10/10/2022,>25,Female,166,717,473,819,265,394
11/10/2022,15-25,Male,886,306,395,345,515,471
11/10/2022,>25,Male,575,597,30,448,160,233
11/10/2022,15-25,Female,357,136,227,792,621,729
11/10/2022,>25,Female,191,413,108,879,701,368
12/10/2022,15-25,Male,104,590,332,958,190,513
12/10/2022,>25,Male,962,887,973,869,495,482
12/10/2022,15-25,Female,585,88,95,410,270,257
12/10/2022,>25,Female,929,914,456,845,439,24
13/10/2022,15-25,Male,536,706,807,635,262,596
13/10/2022,>25,Male,619,815,585,245,971,332
13/10/2022,15-25,Female,58,351,490,978,428,943
13/10/2022,>25,Female,308,687,382,394,22,308
14/10/2022,15-25,Male,496,985,354,634,449,753
14/10/2022,>25,Male,455,551,528,581,23,872
14/10/2022,15-25,Female,474,904,62,624,411,930
14/10/2022,>25,Female,825,105,260,223,750,925
15/10/2022,15-25,Male,285,259,449,390,391,769
15/10/2022,>25,Male,6,504,76,803,372,947
15/10/2022,15-25,Female,804,907,362,987,718,509
15/10/2022,>25,Female,876,699,509,845,869,689
16/10/2022,15-25,Male,235,887,44,574,197,576
16/10/2022,>25,Male,694,82,54,287,813,676
16/10/2022,15-25,Female,282,907,20,700,200,947
16/10/2022,>25,Female,543,93,53,840,253,153
17/10/2022,15-25,Male,563,539,907,269,946,285
17/10/2022,>25,Male,308,867,674,373,924,856
17/10/2022,15-25,Female,805,477,232,152,862,888
17/10/2022,>25,Female,711,157,524,256,798,915
18/10/2022,15-25,Male,178,382,447,681,941,604
18/10/2022,>25,Male,778,636,797,62,165,693
18/10/2022,15-25,Female,12,32,415,163,288,355
18/10/2022,>25,Female,536,74,221,153,79,336
19/10/2022,15-25,Male,649,880,945,552,802,258
19/10/2022,>25,Male,570,131,570,581,425,882
19/10/2022,15-25,Female,646,496,402,230,311,508
19/10/2022,>25,Female,996,841,759,184,856,538
20/10/2022,15-25,Male,432,929,91,74,632,765
20/10/2022,>25,Male,514,852,955,132,743,833
20/10/2022,15-25,Female,565,828,426,501,559,937
20/10/2022,>25,Female,646,163,787,758,612,191
21/10/2022,15-25,Male,371,486,806,636,643,585
21/10/2022,>25,Male,462,939,402,945,833,747
21/10/2022,15-25,Female,989,148,462,465,958,245
21/10/2022,>25,Female,829,857,441,505,678,26
22/10/2022,15-25,Male,189,123,84,154,603,240
22/10/2022,>25,Male,943,966,807,683,990,335
22/10/2022,15-25,Female,79,375,192,634,63,63
22/10/2022,>25,Female,205,603,947,737,407,8
23/10/2022,15-25,Male,363,203,513,145,378,462
23/10/2022,>25,Male,904,462,930,391,178,187
23/10/2022,15-25,Female,30,779,977,154,390,455
23/10/2022,>25,Female,943,403,344,85,532,802
24/10/2022,15-25,Male,352,475,683,871,672,802
24/10/2022,>25,Male,694,133,673,397,410,212
24/10/2022,15-25,Female,145,892,735,390,483,862
24/10/2022,>25,Female,841,94,431,791,72,507
25/10/2022,15-25,Male,623,941,420,131,772,446
25/10/2022,>25,Male,687,29,946,32,987,79
25/10/2022,15-25,Female,267,520,560,991,598,371
25/10/2022,>25,Female,437,102,844,912,141,612
26/10/2022,15-25,Male,274,784,195,289,774,147
26/10/2022,>25,Male,316,358,364,595,839,321
26/10/2022,15-25,Female,71,396,249,861,271,98
26/10/2022,>25,Female,404,964,644,325,547,810
27/10/2022,15-25,Male,368,980,501,104,237,288
27/10/2022,>25,Male,860,268,731,712,989,606
27/10/2022,15-25,Female,371,187,622,746,921,900
27/10/2022,>25,Female,604,239,939,507,360,582
28/10/2022,15-25,Male,277,1,338,842,738,111
28/10/2022,>25,Male,981,662,7,140,90,687
28/10/2022,15-25,Female,627,154,701,860,930,472
28/10/2022,>25,Female,775,129,779,974,512,469
29/10/2022,15-25,Male,414,657,106,891,58,41
29/10/2022,>25,Male,913,35,545,111,132,727
29/10/2022,15-25,Female,217,743,343,95,298,134
29/10/2022,>25,Female,177,504,84,731,46,523
